date,INDPRO,200dma,indpro_signal
1991-09-11,62.5457,61.431726000000126,1.0
1991-09-12,62.5457,61.436497000000124,1.0
1991-09-13,62.5457,61.44126800000013,1.0
1991-09-16,62.5457,61.44603900000013,1.0
1991-09-17,62.5457,61.45081000000013,1.0
1991-09-18,62.5457,61.45558100000013,1.0
1991-09-19,62.5457,61.46035200000013,1.0
1991-09-20,62.5457,61.46512300000013,1.0
1991-09-23,62.5457,61.46989400000013,1.0
1991-09-24,62.5457,61.47466500000013,1.0
1991-09-25,62.5457,61.479436000000135,1.0
1991-09-26,62.5457,61.48420700000013,1.0
1991-09-27,62.5457,61.48897800000013,1.0
1991-09-30,62.5457,61.493749000000136,1.0
1991-10-01,62.4572,61.498077500000136,1.0
1991-10-02,62.4572,61.502406000000136,1.0
1991-10-03,62.4572,61.506734500000135,1.0
1991-10-04,62.4572,61.51106300000014,1.0
1991-10-07,62.4572,61.51539150000014,1.0
1991-10-08,62.4572,61.52086550000015,1.0
1991-10-09,62.4572,61.52633950000015,1.0
1991-10-10,62.4572,61.531813500000155,1.0
1991-10-11,62.4572,61.537287500000154,1.0
1991-10-14,62.4572,61.54276150000016,1.0
1991-10-15,62.4572,61.54823550000017,1.0
1991-10-16,62.4572,61.55370950000017,1.0
1991-10-17,62.4572,61.559183500000174,1.0
1991-10-18,62.4572,61.56465750000017,1.0
1991-10-21,62.4572,61.57013150000018,1.0
1991-10-22,62.4572,61.57560550000019,1.0
1991-10-23,62.4572,61.581079500000186,1.0
1991-10-24,62.4572,61.58655350000019,1.0
1991-10-25,62.4572,61.59202750000019,1.0
1991-10-28,62.4572,61.5975015000002,1.0
1991-10-29,62.4572,61.602975500000205,1.0
1991-10-30,62.4572,61.608449500000205,1.0
1991-10-31,62.4572,61.61392350000021,1.0
1991-11-01,62.371,61.618966500000205,1.0
1991-11-04,62.371,61.6240095000002,1.0
1991-11-05,62.371,61.6290525000002,1.0
1991-11-06,62.371,61.63409550000019,1.0
1991-11-07,62.371,61.63913850000019,1.0
1991-11-08,62.371,61.64636600000019,1.0
1991-11-11,62.371,61.65359350000019,1.0
1991-11-12,62.371,61.66082100000019,1.0
1991-11-13,62.371,61.66804850000019,1.0
1991-11-14,62.371,61.67527600000019,1.0
1991-11-15,62.371,61.68250350000019,1.0
1991-11-18,62.371,61.68973100000019,1.0
1991-11-19,62.371,61.696958500000186,1.0
1991-11-20,62.371,61.704186000000185,1.0
1991-11-21,62.371,61.711413500000184,1.0
1991-11-22,62.371,61.71864100000018,1.0
1991-11-25,62.371,61.72586850000018,1.0
1991-11-26,62.371,61.73309600000018,1.0
1991-11-27,62.371,61.74032350000018,1.0
1991-11-28,62.371,61.74755100000018,1.0
1991-11-29,62.371,61.75477850000018,1.0
1991-12-02,62.0999,61.760650500000175,1.0
1991-12-03,62.0999,61.76652250000017,1.0
1991-12-04,62.0999,61.772394500000175,1.0
1991-12-05,62.0999,61.77826650000017,1.0
1991-12-06,62.0999,61.785839500000165,1.0
