date,21dma,200dma,hy_signal,hy_signal_cross,hy_signal_slope,slope,BAMLH0A0HYM2
2008-05-29,6.698571428571429,6.10625,1.0,0.0,1.0,-0.007363636363636365,6.55
2008-05-30,6.687142857142858,6.117000000000001,1.0,0.0,1.0,-0.007441558441558445,6.57
2008-05-31,6.681904761904762,6.127950000000001,1.0,0.0,1.0,-0.010155844155844161,6.53
2008-06-02,6.6828571428571415,6.139849999999999,1.0,0.0,1.0,-0.01076623376623377,6.67
2008-06-03,6.686666666666666,6.15225,1.0,0.0,1.0,-0.009259740259740256,6.78
2008-06-04,6.69,6.164,1.0,0.0,1.0,-0.0074415584415584435,6.79
2008-06-05,6.68047619047619,6.175,1.0,0.0,1.0,-0.006220779220779224,6.63
2008-06-06,6.670000000000001,6.186,1.0,0.0,1.0,-0.0030909090909090942,6.68
2008-06-09,6.654761904761905,6.19615,1.0,0.0,1.0,-0.0009740259740259717,6.58
2008-06-10,6.641904761904763,6.205849999999999,1.0,0.0,1.0,-0.0016103896103896083,6.49
2008-06-11,6.637619047619048,6.216,1.0,0.0,1.0,-0.0025584415584415567,6.56
2008-06-12,6.625238095238095,6.22515,1.0,0.0,1.0,-0.004506493506493503,6.43
2008-06-13,6.613809523809524,6.234300000000001,1.0,0.0,1.0,-0.007493506493506494,6.39
2008-06-16,6.602857142857142,6.2425,1.0,0.0,1.0,-0.010857142857142862,6.37
2008-06-17,6.5895238095238104,6.2505500000000005,1.0,0.0,1.0,-0.012389610389610391,6.4
2008-06-18,6.5842857142857145,6.2595,1.0,0.0,1.0,-0.012441558441558444,6.53
2008-06-19,6.581428571428572,6.2687,1.0,0.0,1.0,-0.013064935064935066,6.53
2008-06-20,6.581428571428572,6.279350000000001,1.0,0.0,1.0,-0.00983116883116883,6.7
2008-06-23,6.584285714285714,6.2902499999999995,1.0,0.0,1.0,-0.005818181818181818,6.76
2008-06-24,6.5980952380952385,6.3027,0.0,0.0,0.0,0.001649350649350643,7.01
2008-06-25,6.617619047619048,6.315499999999999,0.0,0.0,0.0,0.007298701298701291,7.02
2008-06-26,6.6519047619047615,6.330349999999999,0.0,0.0,0.0,0.01480519480519479,7.27
2008-06-27,6.691904761904762,6.34635,0.0,0.0,0.0,0.02348051948051947,7.41
2008-06-30,6.730952380952381,6.3623,0.0,0.0,0.0,0.029714285714285704,7.35
2008-07-01,6.769523809523811,6.3792,0.0,0.0,0.0,0.03857142857142856,7.48
2008-07-02,6.805238095238097,6.396,0.0,0.0,0.0,0.0485974025974026,7.53
2008-07-03,6.845238095238095,6.41345,0.0,0.0,0.0,0.05909090909090909,7.63
2008-07-04,6.892857142857143,6.4308499999999995,0.0,0.0,0.0,0.06620779220779222,7.63
2008-07-07,6.944285714285714,6.44885,0.0,0.0,0.0,0.07442857142857141,7.76
2008-07-08,7.005714285714286,6.4672,0.0,0.0,0.0,0.08124675324675325,7.87
2008-07-09,7.069047619047619,6.4853499999999995,0.0,0.0,0.0,0.08445454545454546,7.82
2008-07-10,7.132857142857143,6.50385,0.0,0.0,0.0,0.08797402597402598,7.9
2008-07-11,7.201904761904762,6.52245,0.0,0.0,0.0,0.08763636363636361,7.88
2008-07-14,7.273333333333333,6.54115,0.0,0.0,0.0,0.08497402597402597,7.89
2008-07-15,7.353809523809524,6.56135,0.0,0.0,0.0,0.08228571428571428,8.06
