None,date,close,21d_vol,200d_vol,market_vol_cross,21d,200d,market_cross
4900,2004-08-03,1099.69,0.005895229877757722,0.007029997130878775,1.0,1103.5604761904763,1107.5589,0.0
4899,2004-08-04,1098.63,0.0056676996778703605,0.007027462872892939,1.0,1102.7233333333334,1107.8017000000002,0.0
4898,2004-08-05,1080.7,0.006579650474116424,0.007087088150124374,1.0,1100.9314285714286,1108.0086000000001,0.0
4897,2004-08-06,1063.97,0.007121413941919866,0.007165677494837069,1.0,1098.7819047619048,1108.1050500000001,0.0
4896,2004-08-09,1065.22,0.007056284757385407,0.007165583608751227,1.0,1096.5157142857142,1108.201,0.0
4895,2004-08-10,1079.04,0.007751348485226968,0.007140763182765544,1.0,1094.8342857142857,1108.4444,0.0
4894,2004-08-11,1075.79,0.007740092150915458,0.007141079990470408,1.0,1092.9604761904764,1108.6544999999999,0.0
4893,2004-08-12,1063.23,0.008040309499417708,0.007182570880811582,1.0,1090.6633333333334,1108.8261,0.0
4892,2004-08-13,1064.8,0.008060361250327178,0.007181784681056155,1.0,1088.6685714285716,1108.9944500000001,0.0
4891,2004-08-16,1079.34,0.00869401325505845,0.007166804255876664,0.0,1087.6185714285716,1109.1572,0.0
4890,2004-08-17,1081.71,0.008720895363069612,0.007167832335850577,1.0,1086.7047619047619,1109.3252,0.0
4889,2004-08-18,1095.17,0.009033614050511079,0.0072190092932726685,1.0,1086.0619047619048,1109.56635,0.0
4888,2004-08-19,1091.23,0.008577917356056921,0.007220071496118599,1.0,1085.9357142857143,1109.7689500000001,0.0
4887,2004-08-20,1098.35,0.008679853318896332,0.0072133682722823785,1.0,1086.007619047619,1109.9656,0.0
4886,2004-08-23,1095.68,0.008408901696920401,0.007204628917836716,1.0,1086.4590476190476,1110.1777499999998,0.0
4885,2004-08-24,1096.19,0.00839126264494667,0.007203793223625816,1.0,1087.0361904761905,1110.39965,0.0
4884,2004-08-25,1104.96,0.008294768548289014,0.007213427314671536,1.0,1087.5185714285715,1110.6342,0.0
4883,2004-08-26,1105.09,0.008295023268870903,0.007205356276712062,1.0,1087.9790476190476,1110.8936,0.0
4882,2004-08-27,1107.77,0.008254594655515405,0.007194129652710075,1.0,1088.3285714285714,1111.1969,0.0
4881,2004-08-30,1099.15,0.008438790167800591,0.007216656472373173,1.0,1088.2061904761904,1111.4597999999999,0.0
4880,2004-08-31,1104.24,0.008443799592519272,0.007180113519724401,1.0,1088.0928571428572,1111.68835,0.0
4879,2004-09-01,1105.91,0.008329108928918503,0.007180663207789658,1.0,1088.3890476190477,1111.9258499999999,0.0
4878,2004-09-02,1118.31,0.008652686358205658,0.00720018650586047,1.0,1089.3261904761905,1112.26565,0.0
4877,2004-09-03,1113.63,0.007798424599497535,0.007191447184264108,1.0,1090.8942857142856,1112.61565,0.0
4876,2004-09-07,1121.3,0.006825501418774484,0.007174721725604521,1.0,1093.6242857142856,1113.0514,0.0
4875,2004-09-08,1116.27,0.006990686661065845,0.007162729253980254,1.0,1096.055238095238,1113.42055,0.0
4874,2004-09-09,1118.38,0.006550125821980226,0.007136103772333902,1.0,1097.9285714285713,1113.8442,0.0
4873,2004-09-10,1123.92,0.006493249087355425,0.007142869877203228,1.0,1100.2204761904763,1114.2874,0.0
4872,2004-09-13,1125.82,0.005672724110210721,0.007055995653401437,1.0,1103.2009523809525,1114.6561,0.0
4871,2004-09-14,1128.33,0.005666823263534958,0.00705658651354308,1.0,1106.2261904761904,1115.0283,0.0
4870,2004-09-15,1120.37,0.005486666109417291,0.007070320671425057,1.0,1108.1799999999998,1115.3379,0.0
4869,2004-09-16,1123.5,0.00549047376155765,0.00707243874488055,1.0,1110.17,1115.6644000000001,0.0
4868,2004-09-17,1128.55,0.004977875819969985,0.007036265050469291,1.0,1111.759523809524,1115.9565499999999,0.0
4867,2004-09-20,1122.2,0.005099338692888048,0.007044236621973838,1.0,1113.2342857142855,1116.2344500000002,0.0
4866,2004-09-21,1129.3,0.005089540520123514,0.007055712805582854,1.0,1114.7080952380954,1116.5573,0.0
4865,2004-09-22,1113.56,0.00605576692355336,0.0071210790585478955,0.0,1115.5595238095239,1116.7765,0.0
4864,2004-09-23,1108.36,0.0061717512075391626,0.007107354469083188,0.0,1116.1390476190475,1117.0108,0.0
4863,2004-09-24,1110.11,0.0059395953085235155,0.007090083624416246,0.0,1116.3842857142856,1117.21485,0.0
4862,2004-09-27,1103.52,0.0060907551573392915,0.007076274332609158,0.0,1116.3095238095239,1117.43155,0.0
4861,2004-09-28,1110.06,0.006208414894407515,0.0070871810572361365,0.0,1116.4185714285713,1117.6866,0.0
4860,2004-09-29,1114.8,0.005994598810934112,0.007048406443394499,0.0,1117.1638095238097,1117.90455,0.0
4859,2004-09-30,1114.58,0.0059278107605705505,0.007046161460058649,1.0,1117.6561904761904,1118.10675,0.0
4858,2004-10-01,1131.5,0.006733176241521553,0.007111731196104717,0.0,1118.874761904762,1118.42405,1.0
4857,2004-10-04,1135.17,0.006352680809959872,0.007100629775556551,0.0,1119.677619047619,1118.72425,1.0
4856,2004-10-05,1134.48,0.006261755738734989,0.007100555446961494,1.0,1120.6704761904762,1119.01425,1.0
4855,2004-10-06,1142.05,0.006251735742033831,0.0070683537242066646,1.0,1121.6585714285716,1119.2786,1.0
4854,2004-10-07,1130.65,0.00659668073140504,0.007105399167187547,0.0,1122.3433333333332,1119.48855,1.0
4853,2004-10-08,1122.14,0.006823132769263776,0.007121424319923108,0.0,1122.522380952381,1119.63455,1.0
4852,2004-10-11,1124.39,0.006749911894869105,0.007120120055802189,0.0,1122.5447619047618,1119.7764,1.0
4851,2004-10-12,1121.84,0.006756253900497467,0.0071208267155582735,0.0,1122.355238095238,1119.9153999999999,1.0
4850,2004-10-13,1113.65,0.00690687891206058,0.007139394230778379,0.0,1121.6561904761904,1120.0042,1.0
4849,2004-10-14,1103.29,0.007029435088472109,0.007117044281615733,0.0,1120.8428571428572,1119.97325,1.0
4848,2004-10-15,1108.2,0.007079826662080592,0.007124046773590271,1.0,1120.1142857142859,1119.96605,1.0
4847,2004-10-18,1114.02,0.007109004131831844,0.0071322294473739065,1.0,1119.422380952381,1119.97655,0.0
4846,2004-10-19,1103.23,0.007306859342300635,0.007162122332470023,1.0,1118.5190476190478,1119.9503,0.0
4845,2004-10-20,1103.66,0.007130579494987087,0.007108285044876038,1.0,1117.2980952380951,1119.8575,0.0
4844,2004-10-21,1106.49,0.0065178215797868306,0.007110085616798483,1.0,1116.9614285714288,1119.7716,0.0
4843,2004-10-22,1095.74,0.006777658394272912,0.007140805701332395,1.0,1116.3604761904762,1119.61865,0.0
4842,2004-10-25,1094.8,0.0067603306731434335,0.007131813002511602,1.0,1115.6314285714284,1119.43305,0.0
4841,2004-10-26,1111.09,0.007428649235503965,0.007182206305860219,1.0,1115.9919047619046,1119.3792,0.0
4840,2004-10-27,1125.4,0.007828792625038238,0.007231507611029633,1.0,1116.722380952381,1119.37005,0.0
4839,2004-10-28,1127.44,0.007790508725558005,0.007222663589172635,1.0,1117.3242857142857,1119.4011500000001,0.0
4838,2004-10-29,1130.2,0.007799390829152499,0.007201027572910085,1.0,1118.0680952380953,1119.39955,0.0
4837,2004-11-01,1130.51,0.0070670756696452055,0.00720041248996002,1.0,1118.0209523809524,1119.39185,0.0
4836,2004-11-02,1130.56,0.0070272146332622624,0.007183912561107849,1.0,1117.8014285714287,1119.3455,0.0
4835,2004-11-03,1143.2,0.007446064972853175,0.007226806431500234,1.0,1118.2166666666667,1119.36765,0.0
4834,2004-11-04,1161.67,0.00809474354566044,0.007294727678430037,1.0,1119.1509523809523,1119.4379000000001,0.0
4833,2004-11-05,1166.17,0.007723518895967916,0.007295940171503498,1.0,1120.842380952381,1119.54905,1.0
4832,2004-11-08,1164.89,0.007470523407000459,0.007294781517860463,1.0,1122.8780952380953,1119.6657500000001,1.0
4831,2004-11-09,1164.08,0.007489688549596572,0.00724551322448387,1.0,1124.7680952380954,1119.7093,1.0
4830,2004-11-10,1162.91,0.0074616006995028945,0.007211801776229144,1.0,1126.7238095238095,1119.8036,1.0
4829,2004-11-11,1173.48,0.007324092004347193,0.007172601603989576,1.0,1129.5728571428572,1120.0286,1.0
4828,2004-11-12,1184.17,0.006927500231348523,0.0071921168290237855,1.0,1133.4242857142858,1120.2789,1.0
4827,2004-11-15,1183.81,0.006968052138273948,0.0071893696210712805,1.0,1137.0247619047618,1120.5423,1.0
4826,2004-11-16,1175.43,0.007295310799809078,0.007203858330654438,1.0,1139.9490476190476,1120.7431499999998,1.0
4825,2004-11-17,1181.94,0.0067496694550759585,0.007213702197964083,1.0,1143.6971428571428,1120.9726999999998,1.0
4824,2004-11-18,1183.55,0.006732162783992266,0.007188174072928809,1.0,1147.5014285714285,1121.25785,1.0
4823,2004-11-19,1170.34,0.007445013032246987,0.007232848806665128,1.0,1150.5419047619046,1121.4666,1.0
4822,2004-11-22,1177.24,0.006901391704932717,0.0071914094957522745,1.0,1154.422857142857,1121.639,1.0
4821,2004-11-23,1176.94,0.00688393995739554,0.00718884595122861,1.0,1158.3342857142857,1121.82465,1.0
4820,2004-11-24,1181.76,0.006381614346482652,0.007185997179364821,1.0,1161.699523809524,1122.00575,1.0
4819,2004-11-26,1182.65,0.0059796629529393006,0.0071476283330695455,1.0,1164.4257142857143,1122.1302,1.0
4818,2004-11-29,1178.57,0.006112932142519379,0.007143301451329069,1.0,1166.8604761904762,1122.2625,1.0
4817,2004-11-30,1173.82,0.006257293343638215,0.007138341907051015,1.0,1168.9376190476191,1122.40255,1.0
4816,2004-12-01,1191.37,0.0068578515184911605,0.007182060065081182,0.0,1171.8357142857142,1122.57445,1.0
4815,2004-12-02,1190.33,0.006877155254161591,0.00717491456377593,1.0,1174.6819047619047,1122.767,1.0
4814,2004-12-03,1191.17,0.006590575691197264,0.007168481240746564,1.0,1176.9661904761906,1122.98755,1.0
4813,2004-12-06,1190.25,0.00576525985760401,0.007166121781241185,1.0,1178.327142857143,1123.2182500000001,1.0
4812,2004-12-07,1177.07,0.006315909482101148,0.007207899570893135,1.0,1178.8461904761905,1123.3986499999999,1.0
4811,2004-12-08,1182.81,0.006376898326165933,0.007214394528725739,1.0,1179.6995238095237,1123.61725,1.0
4810,2004-12-09,1189.24,0.0064479828066354,0.007218833710999184,1.0,1180.897619047619,1123.8451,1.0
4809,2004-12-10,1188.0,0.006448578650574362,0.007219085155379633,1.0,1182.0923809523808,1124.0605500000001,1.0
4808,2004-12-13,1198.68,0.0064424788088083005,0.007245627665259321,1.0,1183.2923809523809,1124.32925,1.0
4807,2004-12-14,1203.38,0.006214316792022092,0.007219863339629018,1.0,1184.207142857143,1124.5663,1.0
4806,2004-12-15,1205.72,0.0062143078123325975,0.0072075869583615405,1.0,1185.250476190476,1124.8494,1.0
4805,2004-12-16,1203.21,0.005984397121792917,0.007208725104895134,1.0,1186.5733333333333,1125.1103,1.0
4804,2004-12-17,1194.2,0.0061772355985081195,0.007226001102910751,1.0,1187.1571428571428,1125.3069500000001,1.0
4803,2004-12-20,1194.65,0.006174039021976495,0.007225173221841449,1.0,1187.6857142857143,1125.4959,1.0
4802,2004-12-21,1205.45,0.005830666294905452,0.007226418970956256,1.0,1189.3576190476192,1125.78715,1.0
4801,2004-12-22,1209.57,0.005760524655487902,0.00721708422375036,1.0,1190.8971428571429,1126.1320999999998,1.0
4800,2004-12-23,1210.13,0.00575302417315417,0.0071375595059723716,1.0,1192.477619047619,1126.5633,1.0
4799,2004-12-27,1204.92,0.00584272633413692,0.007057736277658707,1.0,1193.580476190476,1127.054,1.0
4798,2004-12-28,1213.54,0.005996989401543815,0.007022694695885468,1.0,1195.0514285714287,1127.51885,1.0
4797,2004-12-29,1213.45,0.005909702189729984,0.006943030272718206,1.0,1196.7123809523812,1128.06365,1.0
4796,2004-12-30,1213.55,0.00578763427258764,0.00693347578231109,1.0,1198.6042857142857,1128.5779,1.0
4795,2004-12-31,1211.92,0.004951433823643566,0.006888412383766379,1.0,1199.582857142857,1129.01875,1.0
4794,2005-01-03,1202.08,0.0053167996629741535,0.0069138256475601775,1.0,1200.142380952381,1129.41755,1.0
4793,2005-01-04,1188.05,0.005945444271844374,0.0069181571034447505,1.0,1199.9938095238094,1129.8089,1.0
