date,STLFSI4,5dma,fs_signal
1995-04-13,-0.32,-0.32995238095238094,1.0
1995-04-14,-0.2827,-0.33720000000000006,1.0
1995-04-17,-0.2827,-0.33996190476190474,1.0
1995-04-18,-0.2827,-0.3427238095238095,1.0
1995-04-19,-0.2827,-0.3454857142857143,1.0
1995-04-20,-0.2827,-0.34824761904761903,1.0
1995-04-21,-0.2382,-0.3488904761904762,1.0
1995-04-24,-0.2382,-0.3431,1.0
1995-04-25,-0.2382,-0.3373095238095238,1.0
1995-04-26,-0.2382,-0.3315190476190476,1.0
1995-04-27,-0.2382,-0.3257285714285714,1.0
1995-04-28,-0.4303,-0.3290857142857143,1.0
1995-05-01,-0.4303,-0.32789999999999997,1.0
1995-05-02,-0.4303,-0.3267142857142857,1.0
1995-05-03,-0.4303,-0.32552857142857144,1.0
1995-05-04,-0.4303,-0.32434285714285715,1.0
1995-05-05,-0.289,-0.31642857142857145,1.0
1995-05-08,-0.289,-0.31495238095238093,1.0
1995-05-09,-0.289,-0.31347619047619046,1.0
1995-05-10,-0.289,-0.312,1.0
1995-05-11,-0.289,-0.31052380952380954,1.0
1995-05-12,-0.1674,-0.30325714285714284,1.0
1995-05-15,-0.1674,-0.2977666666666667,1.0
1995-05-16,-0.1674,-0.29227619047619047,1.0
1995-05-17,-0.1674,-0.2867857142857143,1.0
1995-05-18,-0.1674,-0.2812952380952381,1.0
1995-05-19,-0.3618,-0.28506190476190474,1.0
1995-05-22,-0.3618,-0.290947619047619,1.0
1995-05-23,-0.3618,-0.29683333333333334,1.0
1995-05-24,-0.3618,-0.3027190476190476,1.0
1995-05-25,-0.3618,-0.3086047619047619,1.0
1995-05-26,-0.3244,-0.3127095238095238,1.0
1995-05-29,-0.3244,-0.3076666666666667,1.0
1995-05-30,-0.3244,-0.3026238095238095,1.0
1995-05-31,-0.3244,-0.2975809523809524,1.0
1995-06-01,-0.3244,-0.29253809523809526,1.0
1995-06-02,-0.0833,-0.2760142857142857,1.0
1995-06-05,-0.0833,-0.26621904761904763,1.0
1995-06-06,-0.0833,-0.2564238095238095,1.0
1995-06-07,-0.0833,-0.24662857142857142,1.0
1995-06-08,-0.0833,-0.2368333333333333,1.0
1995-06-09,-0.2083,-0.2329904761904762,1.0
1995-06-12,-0.2083,-0.23493809523809528,1.0
1995-06-13,-0.2083,-0.23688571428571428,1.0
1995-06-14,-0.2083,-0.23883333333333334,1.0
1995-06-15,-0.2083,-0.24078095238095237,1.0
1995-06-16,-0.1682,-0.24081904761904765,1.0
1995-06-19,-0.1682,-0.2316,1.0
1995-06-20,-0.1682,-0.22238095238095237,1.0
1995-06-21,-0.1682,-0.21316190476190475,1.0
1995-06-22,-0.1682,-0.20394285714285715,1.0
1995-06-23,-0.1608,-0.19437142857142858,1.0
1995-06-26,-0.1608,-0.18658095238095238,1.0
1995-06-27,-0.1608,-0.1787904761904762,1.0
1995-06-28,-0.1608,-0.171,1.0
1995-06-29,-0.1608,-0.1632095238095238,1.0
1995-06-30,-0.2731,-0.16076666666666667,1.0
1995-07-03,-0.2731,-0.1698047619047619,1.0
1995-07-04,-0.2731,-0.17884285714285714,1.0
1995-07-05,-0.2731,-0.18788095238095237,1.0
1995-07-06,-0.2731,-0.1969190476190476,1.0
1995-07-07,-0.2591,-0.20529047619047622,1.0
1995-07-10,-0.2591,-0.20770952380952382,1.0
1995-07-11,-0.2591,-0.21012857142857144,1.0
1995-07-12,-0.2591,-0.21254761904761904,1.0
1995-07-13,-0.2591,-0.21496666666666664,1.0
1995-07-14,-0.1343,-0.21144285714285718,1.0
1995-07-17,-0.1343,-0.20982857142857142,1.0
1995-07-18,-0.1343,-0.20821428571428574,1.0
1995-07-19,-0.1343,-0.20660000000000003,1.0
1995-07-20,-0.1343,-0.20498571428571427,1.0
1995-07-21,-0.4425,-0.21804761904761907,1.0
1995-07-24,-0.4425,-0.23146190476190479,1.0
1995-07-25,-0.4425,-0.2448761904761905,1.0
1995-07-26,-0.4425,-0.2582904761904762,1.0
1995-07-27,-0.4425,-0.2717047619047619,1.0
1995-07-28,-0.2886,-0.2777904761904762,1.0
1995-07-31,-0.2886,-0.2785285714285714,1.0
1995-08-01,-0.2886,-0.27926666666666666,1.0
1995-08-02,-0.2886,-0.28000476190476187,1.0
1995-08-03,-0.2886,-0.2807428571428572,1.0
1995-08-04,-0.2452,-0.2794142857142857,1.0
1995-08-07,-0.2452,-0.2787523809523809,1.0
1995-08-08,-0.2452,-0.2780904761904762,1.0
1995-08-09,-0.2452,-0.2774285714285714,1.0
1995-08-10,-0.2452,-0.2767666666666667,1.0
1995-08-11,-0.2658,-0.2770857142857143,1.0
1995-08-14,-0.2658,-0.283347619047619,1.0
1995-08-15,-0.2658,-0.2896095238095238,1.0
1995-08-16,-0.2658,-0.29587142857142856,1.0
1995-08-17,-0.2658,-0.30213333333333336,1.0
1995-08-18,-0.3768,-0.3136809523809524,1.0
1995-08-21,-0.3768,-0.3105523809523809,1.0
1995-08-22,-0.3768,-0.3074238095238095,1.0
1995-08-23,-0.3768,-0.3042952380952381,1.0
1995-08-24,-0.3768,-0.3011666666666667,1.0
1995-08-25,-0.2228,-0.2907047619047619,1.0
1995-08-28,-0.2228,-0.2875714285714286,1.0
1995-08-29,-0.2228,-0.2844380952380952,1.0
1995-08-30,-0.2228,-0.2813047619047619,1.0
1995-08-31,-0.2228,-0.2781714285714286,1.0
1995-09-01,-0.1514,-0.27163809523809523,1.0
1995-09-04,-0.1514,-0.26717142857142856,1.0
1995-09-05,-0.1514,-0.2627047619047619,1.0
1995-09-06,-0.1514,-0.25823809523809527,1.0
1995-09-07,-0.1514,-0.2537714285714286,1.0
1995-09-08,-0.2436,-0.2536952380952381,1.0
1995-09-11,-0.2436,-0.2526380952380952,1.0
1995-09-12,-0.2436,-0.2515809523809524,1.0
1995-09-13,-0.2436,-0.25052380952380954,1.0
1995-09-14,-0.2436,-0.24946666666666667,1.0
1995-09-15,-0.338,-0.2529047619047619,1.0
1995-09-18,-0.338,-0.25105714285714287,1.0
1995-09-19,-0.338,-0.24920952380952383,1.0
1995-09-20,-0.338,-0.24736190476190478,1.0
1995-09-21,-0.338,-0.2455142857142857,1.0
1995-09-22,-0.2891,-0.2413380952380952,1.0
1995-09-25,-0.2891,-0.2444952380952381,1.0
1995-09-26,-0.2891,-0.24765238095238096,1.0
1995-09-27,-0.2891,-0.2508095238095238,1.0
1995-09-28,-0.2891,-0.2539666666666667,1.0
1995-09-29,-0.4096,-0.2628619047619048,1.0
1995-10-02,-0.4096,-0.2751571428571429,1.0
1995-10-03,-0.4096,-0.28745238095238096,1.0
1995-10-04,-0.4096,-0.2997476190476191,1.0
1995-10-05,-0.4096,-0.3120428571428572,1.0
1995-10-06,-0.0683,-0.3080857142857143,1.0
1995-10-09,-0.0683,-0.29973809523809525,1.0
