,date,EM,21d,200d,market_cross,EM_return,21d_vol,200d_vol,market_vol_cross,SP500,sp500_return,EM_v_sp500,50d_hit,200d_hit,EM_v_sp500_hit,index_x,DXY,21dma_dxy,200dma_dxy,dxy_signal,index_y,AUDCHF,21dma_audchf,200dma_audchf,audchf_signal,CRB CMDT,CRB RIND,commodity_tr,21d_cmdty,200d_cmdty,commodity_cross,technicals,volatility,currency,commodities,EM Regime Model,1M,3M
1548,2009-06-08,24.913,24.204190476190472,20.216735,1.0,-0.015572730419978715,0.024227047588535864,0.05176177668704266,1.0,,,,,,,3765.0,80.909,80.82228571428571,83.75171499999999,1.0,3765.0,0.8611,0.8520142857142856,0.8004300000000001,1.0,369.34,403.87,386.605,372.817380952381,352.81410000000005,1.0,,1.0,1.0,1.0,,-0.0635009834223097,0.10889896841006697
1549,2009-06-09,24.958,24.26014285714286,20.19232,1.0,0.0018046565022936337,0.023294924374123834,0.05176211444824894,1.0,,,,,,,3766.0,79.787,80.68461904761905,83.760345,1.0,3766.0,0.8644,0.8530857142857142,0.800115,1.0,372.79,406.87,389.83000000000004,374.1064285714286,352.51419999999996,1.0,,1.0,1.0,1.0,,-0.04844138152095523,0.12973795977241775
1550,2009-06-10,25.272,24.35757142857143,20.169584999999998,1.0,0.012502651414121518,0.022604302040781593,0.05177078086371378,1.0,,,,,,,3767.0,80.329,80.5904761904762,83.771555,1.0,3767.0,0.8674,0.8541142857142857,0.7998284999999999,1.0,371.93,408.11,390.02,375.30380952380955,352.212575,1.0,,1.0,1.0,1.0,,-0.07142291864514083,0.12167616334283005
1551,2009-06-11,25.816,24.473,20.152649999999998,1.0,0.021297391249876667,0.022911134278950966,0.05177460126994214,1.0,,,,,,,3768.0,79.41,80.44338095238096,83.775555,1.0,3768.0,0.8768,0.8561761904761903,0.7996475,1.0,374.48,410.57,392.525,376.58666666666664,351.91807500000004,1.0,,1.0,1.0,1.0,,-0.08452122714595589,0.11244964363185628
1552,2009-06-12,25.402,24.60957142857143,20.133384999999997,1.0,-0.01616654366753287,0.021380861274388728,0.05178597805377753,1.0,,,,,,,3769.0,80.142,80.34161904761905,83.781605,1.0,3769.0,0.8766,0.8579428571428571,0.7994665000000001,1.0,371.32,407.82,389.57,377.68904761904764,351.642375,1.0,,1.0,1.0,1.0,,-0.05944413825683026,0.1312101409337847
1553,2009-06-15,24.491,24.68738095238095,20.106444999999997,1.0,-0.036522207958637004,0.023163086292256586,0.05182431489397033,1.0,,,,,,,3770.0,81.14,80.25190476190475,83.78936,1.0,3770.0,0.8677,0.859257142857143,0.7991860000000002,1.0,367.87,404.66,386.265,378.627380952381,351.351125,1.0,,1.0,1.0,1.0,,0.027928626842513626,0.1689191948062554
1554,2009-06-16,24.122,24.757666666666665,20.076625,1.0,-0.015181415962439567,0.02335831838843738,0.051830930057258875,1.0,,,,,,,3771.0,80.709,80.15866666666668,83.79667,1.0,3771.0,0.8636,0.8597428571428571,0.7989825,1.0,365.04,401.25,383.145,379.3552380952381,351.050825,1.0,,1.0,1.0,1.0,,0.04556006964596637,0.20097836000331637
1555,2009-06-17,23.851,24.755142857142854,20.047230000000003,1.0,-0.011298141984511198,0.020379793430857714,0.05183031413619661,1.0,,,,,,,3772.0,80.169,80.0725238095238,83.79829,1.0,3772.0,0.858,0.8596761904761905,0.7987185000000001,1.0,364.68,400.66,382.67,380.02214285714285,350.752375,1.0,,1.0,1.0,1.0,,0.06825709613852671,0.2451469540061213
1556,2009-06-18,23.783,24.73647619047619,20.021985,1.0,-0.0028551054369796948,0.02021792960175292,0.05178787354487418,1.0,,,,,,,3773.0,80.609,80.05461904761906,83.80060499999999,1.0,3773.0,0.8674,0.8603904761904763,0.7984615,1.0,363.25,400.28,381.765,380.56642857142856,350.445625,1.0,,1.0,1.0,1.0,,0.10957406550897697,0.2420216120758525
1557,2009-06-19,23.904,24.72,19.99972,1.0,0.005074769210846644,0.02024147239201213,0.05177764499991033,1.0,,,,,,,3774.0,80.264,80.04061904761905,83.80709499999999,1.0,3774.0,0.8713,0.8613571428571428,0.798163,1.0,361.74,398.88,380.31,381.1492857142857,350.11764999999997,1.0,,1.0,1.0,1.0,,0.1006526104417671,0.23924866131191447
1558,2009-06-22,23.038,24.683809523809526,19.979660000000003,1.0,-0.036900782446092156,0.02140289233523558,0.05173648372305128,1.0,,,,,,,3775.0,80.783,80.07990476190476,83.816465,1.0,3775.0,0.8534,0.861542857142857,0.7979295,1.0,357.47,395.62,376.545,381.4952380952381,349.8079,1.0,,1.0,1.0,1.0,,0.13955204444830271,0.274589808143068
1559,2009-06-23,23.186,24.649619047619044,19.95841,1.0,0.006403621743895123,0.02143455694620173,0.05172810453895767,1.0,,,,,,,3776.0,79.841,80.07119047619048,83.82033,1.0,3776.0,0.8469,0.8615619047619048,0.7976725,1.0,359.21,396.99,378.1,381.91523809523807,349.505925,1.0,,1.0,1.0,1.0,,0.16436642801690682,0.28577589924954716
1560,2009-06-24,23.695,24.626047619047615,19.937995,1.0,0.02171540717134201,0.02184358216421622,0.05174429372348633,1.0,,,,,,,3777.0,80.556,80.09142857142858,83.832635,1.0,3777.0,0.8748,0.8626428571428572,0.7976865,1.0,359.62,399.02,379.32,382.39690476190475,349.23487500000005,1.0,,1.0,1.0,1.0,,0.1338679046212281,0.23924878666385307
1561,2009-06-25,24.401,24.649380952380948,19.928905,1.0,0.029360059646356917,0.022661683796398158,0.05162890702880274,1.0,,,,,,,3778.0,80.403,80.09480952380952,83.844555,1.0,3778.0,0.8778,0.864057142857143,0.797631,1.0,359.75,400.77,380.26,382.8985714285714,348.982975,1.0,,1.0,1.0,1.0,,0.11073316667349697,0.17978771361829438
1562,2009-06-26,24.53,24.64371428571429,19.918355,1.0,0.005272743204489446,0.02167175384654193,0.05161750954240247,1.0,,,,,,,3779.0,79.878,80.06838095238095,83.855545,1.0,3779.0,0.8753,0.8652714285714286,0.797398,1.0,360.45,402.17,381.31,383.4669047619048,348.71915,1.0,,1.0,1.0,1.0,,0.0999184671830411,0.17851610273134932
1563,2009-06-29,24.712,24.62876190476191,19.91067,1.0,0.007392097345882556,0.02146050375387158,0.05161029809486653,1.0,,,,,,,3780.0,79.835,80.09157142857143,83.87396500000001,1.0,3780.0,0.8747,0.8662285714285713,0.7972365,1.0,364.04,407.18,385.61,383.98476190476185,348.45237499999996,1.0,,1.0,1.0,1.0,,0.06725477500809318,0.1848899320168338
1564,2009-06-30,24.462,24.551714285714286,19.897355,1.0,-0.010168062551109263,0.019267665724935067,0.051561130313044205,1.0,,,,,,,3781.0,80.133,80.13738095238095,83.89228999999999,1.0,3781.0,0.8757,0.8666428571428572,0.7970909999999999,1.0,360.84,406.17,383.505,383.95261904761907,348.186325,1.0,,1.0,1.0,1.0,,0.10485651214128033,0.19977924944812364
1565,2009-07-01,24.909,24.51390476190476,19.89693,1.0,0.018108290882831855,0.019607650011997324,0.05125256259745679,1.0,,,,,,,3782.0,79.634,80.19595238095238,83.90652,1.0,3782.0,0.8693,0.8665380952380952,0.796884,1.0,362.34,407.79,385.065,383.92357142857145,347.934,1.0,,1.0,1.0,1.0,,0.09020835842466579,0.18555542173511586
1566,2009-07-02,24.226,24.48695238095238,19.892015,1.0,-0.02780274735339274,0.01894918219601641,0.051286464467889245,1.0,,,,,,,3783.0,80.151,80.22695238095237,83.922305,1.0,3783.0,0.8608,0.8667333333333334,0.7966335,1.0,361.02,406.63,383.825,383.99666666666667,347.675075,1.0,,1.0,1.0,1.0,,0.16292413109881942,0.18579212416412116
