,date,BFCIUS,50dma,200dma,bfcius_signal
353,1996-05-09,1.012,0.8819,0.7974250000000016,1.0
354,1996-05-10,0.919,0.8832599999999999,0.7967100000000016,1.0
355,1996-05-13,1.056,0.8857599999999999,0.7968000000000016,1.0
356,1996-05-14,0.946,0.8837999999999999,0.7963750000000016,1.0
357,1996-05-15,1.009,0.88406,0.7962900000000015,1.0
358,1996-05-16,1.107,0.8864599999999999,0.7966950000000014,1.0
359,1996-05-17,0.998,0.8883199999999998,0.7960050000000014,1.0
360,1996-05-20,1.02,0.8910599999999999,0.7960950000000014,1.0
361,1996-05-21,1.074,0.8945399999999998,0.7963900000000015,1.0
362,1996-05-22,1.08,0.8963999999999998,0.7967250000000016,1.0
363,1996-05-23,1.144,0.8989999999999996,0.7971850000000016,1.0
364,1996-05-24,1.115,0.8996399999999997,0.7976800000000017,1.0
365,1996-05-27,1.121,0.9002799999999997,0.7984500000000017,1.0
366,1996-05-28,1.087,0.8997199999999999,0.7984500000000017,1.0
367,1996-05-29,1.196,0.9059999999999998,0.7993900000000016,1.0
368,1996-05-30,1.147,0.9128399999999998,0.8010500000000016,1.0
369,1996-05-31,1.196,0.9188799999999998,0.8030100000000016,1.0
370,1996-06-03,1.145,0.9270799999999998,0.8049050000000016,1.0
371,1996-06-04,1.162,0.9323399999999998,0.8065100000000016,1.0
372,1996-06-05,1.1219999999999999,0.9360999999999998,0.8081550000000015,1.0
373,1996-06-06,1.003,0.9374599999999998,0.8092950000000014,1.0
374,1996-06-07,1.3860000000000001,0.9493999999999998,0.8122300000000015,1.0
375,1996-06-10,1.219,0.9564799999999998,0.8143700000000014,1.0
376,1996-06-11,1.1360000000000001,0.9610599999999999,0.8159950000000014,1.0
377,1996-06-12,1.153,0.96556,0.8174900000000013,1.0
378,1996-06-13,0.973,0.9664,0.8178350000000013,1.0
379,1996-06-14,0.825,0.9619800000000001,0.8171900000000012,1.0
380,1996-06-17,0.853,0.9608000000000001,0.8168450000000013,1.0
381,1996-06-18,1.045,0.9675000000000001,0.8182050000000012,1.0
382,1996-06-19,1.056,0.9758600000000002,0.8193400000000013,1.0
383,1996-06-20,1.153,0.98602,0.8211500000000013,1.0
384,1996-06-21,1.215,0.9975000000000002,0.8224000000000012,1.0
385,1996-06-24,1.234,1.01068,0.8239950000000014,1.0
386,1996-06-25,1.134,1.0221200000000001,0.8258900000000012,1.0
387,1996-06-26,1.133,1.0347200000000003,0.8279200000000013,1.0
388,1996-06-27,1.023,1.0428400000000004,0.8288650000000013,1.0
389,1996-06-28,0.917,1.0469600000000003,0.8300000000000013,1.0
390,1996-07-01,1.202,1.0570400000000004,0.8323550000000013,1.0
391,1996-07-02,1.393,1.0664400000000003,0.8352800000000014,1.0
392,1996-07-03,1.048,1.0669000000000004,0.8367550000000015,1.0
393,1996-07-04,1.148,1.0718800000000004,0.8388800000000013,1.0
394,1996-07-05,1.375,1.0803000000000005,0.8426200000000013,1.0
395,1996-07-08,0.97,1.0782800000000003,0.8447350000000013,1.0
396,1996-07-09,1.073,1.0782800000000003,0.8465250000000013,1.0
397,1996-07-10,0.931,1.0782400000000003,0.8482100000000014,1.0
398,1996-07-11,0.79,1.0733600000000003,0.8494750000000013,1.0
399,1996-07-12,0.921,1.0731600000000006,0.8509600000000013,1.0
400,1996-07-15,0.73,1.0707800000000005,0.8517300000000013,1.0
401,1996-07-16,0.695,1.0650800000000005,0.8523400000000012,1.0
402,1996-07-17,0.78,1.0634000000000006,0.8533800000000012,1.0
403,1996-07-18,0.811,1.0593800000000007,0.8545450000000012,1.0
404,1996-07-19,0.965,1.0603000000000007,0.8566500000000012,1.0
405,1996-07-22,0.859,1.0563600000000009,0.8583700000000013,1.0
406,1996-07-23,0.757,1.0525800000000007,0.8597200000000014,1.0
407,1996-07-24,0.808,1.0485600000000008,0.8612500000000013,1.0
408,1996-07-25,0.838,1.0431800000000009,0.8629200000000012,1.0
409,1996-07-26,0.963,1.042480000000001,0.8648250000000013,1.0
410,1996-07-29,0.968,1.0414400000000008,0.8667950000000012,1.0
411,1996-07-30,0.829,1.036540000000001,0.8684850000000012,1.0
412,1996-07-31,0.825,1.0314400000000008,0.8704050000000011,1.0
413,1996-08-01,0.782,1.0242000000000009,0.8723050000000012,1.0
414,1996-08-02,0.919,1.0202800000000007,0.8746500000000013,1.0
415,1996-08-05,0.901,1.0158800000000008,0.8765450000000015,1.0
416,1996-08-06,0.933,1.0128000000000008,0.8777700000000014,1.0
417,1996-08-07,0.918,1.0072400000000008,0.8791850000000015,1.0
418,1996-08-08,0.912,1.0025400000000007,0.8804350000000015,1.0
419,1996-08-09,0.914,0.9969000000000008,0.8810800000000014,1.0
420,1996-08-12,0.959,0.9931800000000008,0.8818850000000015,1.0
421,1996-08-13,1.07,0.9913400000000009,0.8830800000000015,1.0
422,1996-08-14,1.044,0.9897800000000008,0.8839100000000016,1.0
423,1996-08-15,1.115,0.9920200000000008,0.8849700000000017,1.0
424,1996-08-16,1.102,0.9863400000000007,0.8854600000000018,1.0
425,1996-08-19,1.11,0.9841600000000007,0.8860400000000018,1.0
426,1996-08-20,1.061,0.9826600000000006,0.8868100000000019,1.0
427,1996-08-21,1.039,0.9803800000000007,0.8870750000000018,1.0
428,1996-08-22,1.087,0.9826600000000008,0.8878950000000018,1.0
429,1996-08-23,1.27,0.9915600000000008,0.8898400000000017,1.0
430,1996-08-26,1.222,0.9989400000000007,0.8912450000000018,1.0
431,1996-08-27,1.079,0.9996200000000007,0.8917550000000019,1.0
432,1996-08-28,1.099,1.0004800000000007,0.8925200000000018,1.0
433,1996-08-29,1.091,0.9992400000000008,0.8933700000000019,1.0
434,1996-08-30,1.222,0.9993800000000007,0.8952150000000019,1.0
435,1996-09-02,1.143,0.9975600000000007,0.8964700000000019,1.0
436,1996-09-03,0.954,0.9939600000000007,0.8964050000000019,1.0
437,1996-09-04,1.021,0.9917200000000007,0.8972550000000018,1.0
438,1996-09-05,1.003,0.9913200000000006,0.8982550000000018,1.0
439,1996-09-06,1.07,0.9943800000000006,0.8995500000000017,1.0
440,1996-09-09,1.055,0.9914400000000007,0.9001850000000018,1.0
441,1996-09-10,1.129,0.9861600000000006,0.9012300000000018,1.0
442,1996-09-11,1.165,0.9885000000000005,0.9026900000000018,1.0
443,1996-09-12,1.102,0.9875800000000003,0.9034850000000018,1.0
444,1996-09-13,0.983,0.9797400000000003,0.9035000000000017,1.0
445,1996-09-16,1.078,0.9819000000000004,0.9039800000000018,1.0
446,1996-09-17,1.314,0.9867200000000004,0.9062500000000017,1.0
447,1996-09-18,1.069,0.9894800000000005,0.9071000000000017,1.0
448,1996-09-19,1.014,0.9939600000000006,0.9077600000000017,1.0
449,1996-09-20,1.156,0.9986600000000005,0.9098700000000016,1.0
450,1996-09-23,1.105,1.0061600000000006,0.9124250000000016,1.0
451,1996-09-24,0.723,1.0067200000000005,0.9139850000000017,1.0
452,1996-09-25,0.76,1.0063200000000005,0.9148950000000017,1.0
453,1996-09-26,0.731,1.0047200000000005,0.9167050000000017,1.0
454,1996-09-27,0.607,0.9975600000000004,0.9178900000000015,1.0
455,1996-09-30,0.607,0.9925200000000004,0.9191550000000015,1.0
456,1996-10-01,0.693,0.9912400000000003,0.9210700000000016,1.0
457,1996-10-02,0.547,0.9860200000000003,0.9222400000000016,1.0
458,1996-10-03,0.575,0.9807600000000004,0.9235750000000016,1.0
459,1996-10-04,0.666,0.9748200000000002,0.9245450000000015,1.0
460,1996-10-07,0.883,0.9731200000000004,0.9266250000000015,1.0
